ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-04-13 00:00:00,8,14107,58010,6146,8.230736079986205,1859.0,"[(AA,12478,1859.00),(B6,11697,1163.00),(AA,12173,1159.00),(AA,10693,996.00),(OO,10713,972.00),(DL,14869,963.00),(AA,10397,931.00),(AA,10423,891.00),(F9,13930,871.00),(AA,14262,867.00),(AA,11066,861.00),(AA,13487,855.00),(OO,11695,849.00),(AA,12173,829.00),(AA,12889,820.00),(OO,14698,796.00),(OO,10561,793.00),(OO,14771,781.00),(OO,13158,768.00),(AA,10423,767.00)]"
2025-04-13 00:00:00,9,13204,46245,5967,11.891599091793776,1305.0,"[(AA,13930,1305.00),(DL,11433,1196.00),(AA,13930,1186.00),(AA,14100,1156.00),(AA,11057,1151.00),(DL,12478,1073.00),(AA,13303,1019.00),(DL,11193,1014.00),(DL,11433,1000.00),(AA,14107,986.00),(AA,11278,959.00),(UA,12892,950.00),(AA,13930,945.00),(AA,14100,910.00),(UA,13930,904.00),(UA,12266,902.00),(DL,14492,899.00),(DL,12892,896.00),(AA,12892,887.00),(DL,14869,883.00)]"
2025-04-13 00:00:00,10,13303,34197,5404,15.871187531070053,1478.0,"[(AA,10423,1478.00),(F9,11193,1242.00),(AA,10994,1217.00),(DL,13487,1114.00),(F9,14100,1100.00),(AA,14107,1050.00),(UA,12266,1030.00),(F9,14100,1008.00),(AA,13495,987.00),(B6,10721,977.00),(DL,10721,973.00),(DL,12478,925.00),(YX,12992,925.00),(AA,14107,920.00),(AA,14107,911.00),(DL,12953,907.00),(B6,12478,870.00),(DL,11433,861.00),(AA,12266,860.00),(DL,10397,842.00)]"
2025-04-14 00:00:00,1,11298,83492,13330,14.89324725722223,1766.0,"[(AA,13303,1766.00),(OH,11953,1500.00),(AA,12173,1490.00),(AA,13930,1419.00),(B6,10721,1412.00),(AA,13303,1322.00),(OH,12217,1318.00),(AA,14492,1272.00),(OH,12992,1198.00),(AA,13244,1175.00),(OH,12217,1172.00),(AA,11638,1147.00),(AA,12094,1144.00),(AA,13851,1098.00),(AA,14193,1078.00),(OH,12448,1058.00),(DL,10397,1021.00),(OH,13277,1020.00),(AA,11057,1003.00),(DL,12953,995.00)]"
2025-04-14 00:00:00,2,10397,82643,12163,13.845939765013382,1300.0,"[(AA,13303,1300.00),(B6,10721,1204.00),(DL,14747,1188.00),(DL,12478,1106.00),(AA,11298,1095.00),(DL,12892,1062.00),(DL,12892,1061.00),(DL,14908,1036.00),(DL,12217,993.00),(DL,14747,977.00),(DL,14771,976.00),(F9,11618,972.00),(F9,13303,968.00),(DL,12889,963.00),(DL,10792,921.00),(F9,13204,920.00),(DL,14689,906.00),(DL,10208,888.00),(AA,12892,874.00),(OO,14696,852.00)]"
2025-04-14 00:00:00,3,11292,84852,11094,11.567281855465978,1899.0,"[(AA,14107,1899.00),(AA,11298,1679.00),(AA,11057,1489.00),(B6,10721,1458.00),(AA,11298,1123.00),(OO,11921,1120.00),(OO,11315,1087.00),(MQ,14107,998.00),(OO,12280,990.00),(OO,14877,986.00),(OO,10713,977.00),(OO,12177,975.00),(AA,13930,961.00),(F9,10397,940.00),(OO,12896,940.00),(OO,14457,931.00),(F9,12889,925.00),(UA,12441,914.00),(AA,11057,910.00),(OO,13158,910.00)]"
2025-04-14 00:00:00,4,13930,76738,10943,13.445958977299357,1986.0,"[(AA,14100,1986.00),(AA,12441,1546.00),(OO,14877,1320.00),(F9,11292,1273.00),(B6,10721,1240.00),(AA,14100,1167.00),(AA,13495,1112.00),(MQ,13459,1052.00),(AA,11278,1051.00),(DL,14869,1025.00),(B6,12478,1018.00),(OO,13282,1014.00),(OO,13184,1012.00),(OO,15370,999.00),(OO,13871,998.00),(NK,10397,977.00),(OO,12559,964.00),(AA,10423,945.00),(OO,10693,933.00),(AA,11278,926.00)]"
2025-04-14 00:00:00,5,11057,56526,7808,12.20590524714304,1279.0,"[(AA,15016,1279.00),(AA,10257,1233.00),(F9,11298,1203.00),(AA,14100,1148.00),(AA,11278,1113.00),(DL,10397,1041.00),(AA,12478,1030.00),(OH,11973,1026.00),(AA,14107,989.00),(DL,13487,986.00),(F9,12953,935.00),(AA,10257,934.00),(DL,10397,913.00),(UA,11618,897.00),(OH,14685,865.00),(AA,11292,845.00),(OH,11252,835.00),(MQ,12992,833.00),(OH,11823,813.00),(AA,11624,794.00)]"
2025-04-14 00:00:00,6,11278,38175,6791,17.04149312377209,1587.0,"[(AA,13930,1587.00),(AA,11298,1316.00),(OH,10581,1173.00),(AA,14635,1165.00),(DL,10397,1160.00),(UA,12266,1160.00),(OH,10257,1157.00),(OH,11423,1153.00),(AA,11298,1141.00),(AA,15304,1118.00),(OH,10781,1110.00),(UA,13930,1093.00),(DL,11433,1092.00),(OH,10781,1051.00),(DL,10397,1040.00),(DL,12892,1031.00),(DL,10397,995.00),(B6,14027,976.00),(F9,11292,968.00),(DL,11433,954.00)]"
2025-04-14 00:00:00,7,12889,52447,6397,9.804736209887949,2315.0,"[(AA,11298,2315.00),(OO,14893,1266.00),(G4,14457,1194.00),(DL,12478,1094.00),(G4,11193,1042.00),(DL,10397,1030.00),(G4,14314,1030.00),(G4,10408,964.00),(G4,11193,964.00),(G4,13367,952.00),(DL,12478,942.00),(G4,10666,942.00),(F9,13232,896.00),(AA,13930,893.00),(UA,11618,870.00),(AA,14107,868.00),(B6,12478,866.00),(DL,12892,859.00),(AA,11298,853.00),(F9,11292,838.00)]"
2025-04-14 00:00:00,8,14107,58634,6206,8.239008084046777,1859.0,"[(AA,12478,1859.00),(B6,11697,1163.00),(AA,12173,1159.00),(AA,10693,996.00),(OO,10713,972.00),(DL,14869,963.00),(AA,10397,931.00),(AA,10423,891.00),(F9,13930,871.00),(AA,14262,867.00),(AA,11066,861.00),(AA,13487,855.00),(OO,11695,849.00),(AA,12173,829.00),(AA,12889,820.00),(OO,14698,796.00),(OO,10561,793.00),(DL,10397,791.00),(OO,14771,781.00),(OO,13158,768.00)]"
2025-04-14 00:00:00,9,13204,46728,6004,11.87178993323068,1305.0,"[(AA,13930,1305.00),(DL,11433,1196.00),(AA,13930,1186.00),(F9,14100,1171.00),(AA,14100,1156.00),(AA,11057,1151.00),(DL,12478,1073.00),(AA,13303,1019.00),(DL,11193,1014.00),(DL,11433,1000.00),(AA,14107,986.00),(AA,11278,959.00),(UA,12892,950.00),(AA,13930,945.00),(AA,14100,910.00),(UA,13930,904.00),(UA,12266,902.00),(DL,14492,899.00),(DL,12892,896.00),(AA,12892,887.00)]"
2025-04-14 00:00:00,10,13303,34539,5440,15.808506326182076,1478.0,"[(AA,10423,1478.00),(F9,11193,1242.00),(AA,10994,1217.00),(DL,13487,1114.00),(F9,14100,1100.00),(AA,14107,1050.00),(UA,12266,1030.00),(F9,14100,1008.00),(AA,13495,987.00),(B6,10721,977.00),(DL,10721,973.00),(DL,12478,925.00),(YX,12992,925.00),(AA,14107,920.00),(AA,14107,911.00),(DL,12953,907.00),(B6,12478,870.00),(DL,11433,861.00),(AA,12266,860.00),(DL,10397,842.00)]"
2025-04-15 00:00:00,1,11298,84407,13406,14.797007357209695,1766.0,"[(AA,13303,1766.00),(OH,11953,1500.00),(AA,12173,1490.00),(AA,13930,1419.00),(B6,10721,1412.00),(AA,13303,1322.00),(OH,12217,1318.00),(AA,14492,1272.00),(OH,12992,1198.00),(AA,13244,1175.00),(OH,12217,1172.00),(AA,11638,1147.00),(AA,12094,1144.00),(AA,13851,1098.00),(AA,14193,1078.00),(OH,12448,1058.00),(DL,10397,1021.00),(OH,13277,1020.00),(AA,11057,1003.00),(DL,12953,995.00)]"
2025-04-15 00:00:00,2,10397,83543,12209,13.716936188549601,1300.0,"[(AA,13303,1300.00),(B6,10721,1204.00),(DL,14747,1188.00),(DL,12478,1106.00),(AA,11298,1095.00),(DL,12892,1062.00),(DL,12892,1061.00),(DL,14908,1036.00),(DL,12217,993.00),(DL,14747,977.00),(DL,14771,976.00),(F9,11618,972.00),(F9,13303,968.00),(DL,12889,963.00),(DL,10792,921.00),(F9,13204,920.00),(DL,14689,906.00),(DL,10208,888.00),(AA,12892,874.00),(OO,14696,852.00)]"
2025-04-15 00:00:00,3,11292,85745,11143,11.462767508309488,1899.0,"[(AA,14107,1899.00),(AA,11298,1679.00),(AA,11057,1489.00),(B6,10721,1458.00),(AA,11298,1123.00),(OO,11921,1120.00),(OO,11315,1087.00),(MQ,14107,998.00),(OO,12280,990.00),(OO,14877,986.00),(OO,10713,977.00),(OO,12177,975.00),(AA,13930,961.00),(F9,10397,940.00),(OO,12896,940.00),(OO,14457,931.00),(F9,12889,925.00),(UA,12441,914.00),(AA,11057,910.00),(OO,13158,910.00)]"
2025-04-15 00:00:00,4,13930,77622,11000,13.312411429749288,1986.0,"[(AA,14100,1986.00),(AA,12441,1546.00),(OO,14877,1320.00),(F9,11292,1273.00),(B6,10721,1240.00),(AA,14100,1167.00),(AA,13495,1112.00),(MQ,13459,1052.00),(AA,11278,1051.00),(DL,14869,1025.00),(B6,12478,1018.00),(OO,13282,1014.00),(OO,13184,1012.00),(OO,15370,999.00),(OO,13871,998.00),(NK,10397,977.00),(OO,12559,964.00),(AA,10423,945.00),(OO,10693,933.00),(AA,11278,926.00)]"
2025-04-15 00:00:00,5,11057,57116,7881,12.204145948595965,1279.0,"[(AA,15016,1279.00),(AA,10257,1233.00),(F9,11298,1203.00),(AA,14100,1148.00),(AA,11278,1113.00),(DL,10397,1041.00),(AA,12478,1030.00),(OH,11973,1026.00),(AA,14107,989.00),(DL,13487,986.00),(F9,12953,980.00),(F9,12953,935.00),(AA,10257,934.00),(DL,10397,913.00),(UA,11618,897.00),(OH,14685,865.00),(AA,11292,845.00),(OH,11252,835.00),(MQ,12992,833.00),(OH,11823,813.00)]"
2025-04-15 00:00:00,6,11278,38614,6853,17.001009996374336,1587.0,"[(AA,13930,1587.00),(AA,11298,1316.00),(OH,10581,1173.00),(AA,14635,1165.00),(DL,10397,1160.00),(UA,12266,1160.00),(OH,10257,1157.00),(OH,11423,1153.00),(AA,11298,1141.00),(AA,15304,1118.00),(OH,10781,1110.00),(UA,13930,1093.00),(DL,11433,1092.00),(OH,10781,1051.00),(DL,10397,1040.00),(DL,12892,1031.00),(DL,10397,995.00),(B6,14027,976.00),(F9,11292,968.00),(DL,11433,954.00)]"
2025-04-15 00:00:00,7,12889,52975,6444,9.757583765927206,2315.0,"[(AA,11298,2315.00),(OO,14893,1266.00),(G4,14457,1194.00),(DL,12478,1094.00),(G4,11193,1042.00),(DL,10397,1030.00),(G4,14314,1030.00),(G4,10408,964.00),(G4,11193,964.00),(G4,13367,952.00),(DL,12478,942.00),(G4,10666,942.00),(F9,13232,896.00),(AA,13930,893.00),(UA,11618,870.00),(AA,14107,868.00),(B6,12478,866.00),(DL,12892,859.00),(AA,11298,853.00),(F9,11292,838.00)]"
2025-04-15 00:00:00,8,14107,59279,6246,8.192682062787814,1859.0,"[(AA,12478,1859.00),(B6,11697,1163.00),(AA,12173,1159.00),(AA,10693,996.00),(OO,10713,972.00),(DL,14869,963.00),(AA,10397,931.00),(AA,10423,891.00),(F9,13930,871.00),(AA,14262,867.00),(AA,11066,861.00),(AA,13487,855.00),(OO,11695,849.00),(AA,12173,829.00),(AA,12889,820.00),(OO,14698,796.00),(OO,10561,793.00),(DL,10397,791.00),(OO,14771,781.00),(OO,13158,768.00)]"
2025-04-15 00:00:00,9,13204,47192,6031,11.775470418715106,1305.0,"[(AA,13930,1305.00),(DL,11433,1196.00),(AA,13930,1186.00),(F9,14100,1171.00),(AA,14100,1156.00),(AA,11057,1151.00),(DL,12478,1073.00),(AA,13303,1019.00),(DL,11193,1014.00),(DL,11433,1000.00),(AA,14107,986.00),(AA,11278,959.00),(UA,12892,950.00),(AA,13930,945.00),(AA,14100,910.00),(UA,13930,904.00),(UA,12266,902.00),(DL,14492,899.00),(DL,12892,896.00),(AA,12892,887.00)]"
2025-04-15 00:00:00,10,13303,34873,5472,15.708857855647734,1478.0,"[(AA,10423,1478.00),(F9,11193,1242.00),(AA,10994,1217.00),(DL,13487,1114.00),(F9,14100,1100.00),(AA,14107,1050.00),(UA,12266,1030.00),(F9,14100,1008.00),(AA,13495,987.00),(B6,10721,977.00),(DL,10721,973.00),(DL,12478,925.00),(YX,12992,925.00),(AA,14107,920.00),(AA,14107,911.00),(DL,12953,907.00),(B6,12478,870.00),(DL,11433,861.00),(AA,12266,860.00),(DL,10397,842.00)]"
2025-04-16 00:00:00,1,11298,85489,13504,14.699470107265263,1766.0,"[(AA,13303,1766.00),(OH,11953,1500.00),(AA,12173,1490.00),(AA,13930,1419.00),(B6,10721,1412.00),(AA,13303,1322.00),(OH,12217,1318.00),(AA,14492,1272.00),(OH,12992,1198.00),(AA,13244,1175.00),(OH,12217,1172.00),(AA,11638,1147.00),(AA,12094,1144.00),(AA,13851,1098.00),(AA,14193,1078.00),(OH,12448,1058.00),(DL,10397,1021.00),(OH,13277,1020.00),(AA,11057,1003.00),(DL,12953,995.00)]"
2025-04-16 00:00:00,2,10397,84635,12278,13.574431381816062,1300.0,"[(AA,13303,1300.00),(B6,10721,1204.00),(DL,14747,1188.00),(DL,12478,1106.00),(AA,11298,1095.00),(DL,12892,1062.00),(DL,12892,1061.00),(DL,14908,1036.00),(DL,12217,993.00),(DL,14747,977.00),(DL,14771,976.00),(F9,11618,972.00),(F9,13303,968.00),(DL,12889,963.00),(DL,10792,921.00),(F9,13204,920.00),(DL,14689,906.00),(DL,10208,888.00),(AA,12892,874.00),(OO,14696,852.00)]"
2025-04-16 00:00:00,3,11292,86835,11313,11.476374733690344,1899.0,"[(AA,14107,1899.00),(AA,11298,1679.00),(AA,11057,1489.00),(B6,10721,1458.00),(AA,11298,1123.00),(OO,11921,1120.00),(OO,11315,1087.00),(MQ,14107,998.00),(OO,12280,990.00),(OO,14877,986.00),(OO,10713,977.00),(OO,12177,975.00),(AA,13930,961.00),(F9,10397,940.00),(OO,12896,940.00),(OO,14457,931.00),(F9,12889,925.00),(UA,12441,914.00),(AA,11057,910.00),(OO,13158,910.00)]"
2025-04-16 00:00:00,4,13930,78733,11076,13.160758512948812,1986.0,"[(AA,14100,1986.00),(AA,12441,1546.00),(OO,14877,1320.00),(F9,11292,1273.00),(B6,10721,1240.00),(AA,14100,1167.00),(AA,13495,1112.00),(MQ,13459,1052.00),(AA,11278,1051.00),(DL,14869,1025.00),(B6,12478,1018.00),(OO,13282,1014.00),(OO,13184,1012.00),(OO,15370,999.00),(OO,13871,998.00),(NK,10397,977.00),(OO,12559,964.00),(AA,10423,945.00),(OO,10693,933.00),(AA,11278,926.00)]"
2025-04-16 00:00:00,5,11057,57869,7949,12.127252933349581,1279.0,"[(AA,15016,1279.00),(AA,10257,1233.00),(F9,11298,1203.00),(AA,14100,1148.00),(AA,11278,1113.00),(DL,10397,1041.00),(AA,12478,1030.00),(OH,11973,1026.00),(OH,10599,1009.00),(AA,14107,989.00),(DL,13487,986.00),(F9,12953,980.00),(F9,12953,935.00),(AA,10257,934.00),(DL,10397,913.00),(UA,11618,897.00),(OH,14685,865.00),(AA,11292,845.00),(OH,11252,835.00),(MQ,12992,833.00)]"
2025-04-16 00:00:00,6,11278,39133,6924,16.902537500319397,1587.0,"[(AA,13930,1587.00),(AA,11298,1316.00),(OH,10581,1173.00),(AA,14635,1165.00),(DL,10397,1160.00),(UA,12266,1160.00),(OH,10257,1157.00),(OH,11423,1153.00),(AA,11298,1141.00),(AA,15304,1118.00),(OH,10781,1110.00),(UA,13930,1093.00),(DL,11433,1092.00),(OH,10781,1051.00),(DL,10397,1040.00),(DL,12892,1031.00),(DL,10397,995.00),(B6,14027,976.00),(F9,11292,968.00),(DL,11433,954.00)]"
2025-04-16 00:00:00,7,12889,53638,6480,9.668499944069369,2315.0,"[(AA,11298,2315.00),(OO,14893,1266.00),(G4,14457,1194.00),(DL,12478,1094.00),(G4,11193,1042.00),(DL,10397,1030.00),(G4,14314,1030.00),(G4,10408,964.00),(G4,11193,964.00),(G4,13367,952.00),(DL,12478,942.00),(G4,10666,942.00),(F9,13232,896.00),(AA,13930,893.00),(UA,11618,870.00),(AA,14107,868.00),(B6,12478,866.00),(DL,12892,859.00),(AA,11298,853.00),(F9,11292,838.00)]"
2025-04-16 00:00:00,8,14107,60056,6307,8.153340215798563,1859.0,"[(AA,12478,1859.00),(B6,11697,1163.00),(AA,12173,1159.00),(AA,10693,996.00),(OO,10713,972.00),(DL,14869,963.00),(AA,10397,931.00),(AA,10423,891.00),(F9,13930,871.00),(AA,14262,867.00),(AA,11066,861.00),(AA,13487,855.00),(OO,11695,849.00),(AA,12173,829.00),(AA,12889,820.00),(OO,14698,796.00),(OO,10561,793.00),(DL,10397,791.00),(OO,14771,781.00),(OO,13158,768.00)]"
2025-04-16 00:00:00,9,13204,47772,6079,11.688897261994535,1305.0,"[(AA,13930,1305.00),(DL,11433,1196.00),(AA,13930,1186.00),(F9,14100,1171.00),(AA,14100,1156.00),(AA,11057,1151.00),(DL,12478,1073.00),(AA,13303,1019.00),(DL,11193,1014.00),(DL,11433,1000.00),(AA,14107,986.00),(AA,11278,959.00),(UA,12892,950.00),(AA,13930,945.00),(AA,14100,910.00),(UA,13930,904.00),(UA,12266,902.00),(DL,14492,899.00),(DL,12892,896.00),(AA,12892,887.00)]"
2025-04-16 00:00:00,10,13303,35291,5517,15.603156612167504,1478.0,"[(AA,10423,1478.00),(F9,11193,1242.00),(AA,10994,1217.00),(DL,13487,1114.00),(F9,14100,1100.00),(AA,14107,1050.00),(UA,12266,1030.00),(F9,14100,1008.00),(AA,13495,987.00),(B6,10721,977.00),(DL,10721,973.00),(DL,12478,925.00),(YX,12992,925.00),(AA,14107,920.00),(AA,14107,911.00),(DL,12953,907.00),(B6,12478,870.00),(DL,11433,861.00),(AA,12266,860.00),(DL,10397,842.00)]"
2025-04-17 00:00:00,1,11298,86187,13586,14.658509984104352,1766.0,"[(AA,13303,1766.00),(OH,11953,1500.00),(AA,12173,1490.00),(AA,13930,1419.00),(B6,10721,1412.00),(AA,13303,1322.00),(OH,12217,1318.00),(AA,14492,1272.00),(OH,12992,1198.00),(AA,13244,1175.00),(OH,12217,1172.00),(AA,11638,1147.00),(AA,12094,1144.00),(AA,13851,1098.00),(AA,14193,1078.00),(OH,12448,1058.00),(DL,10397,1021.00),(OH,13277,1020.00),(AA,11057,1003.00),(DL,12953,995.00)]"
2025-04-17 00:00:00,2,10397,85303,12334,13.511177801484157,1300.0,"[(AA,13303,1300.00),(B6,10721,1204.00),(DL,14747,1188.00),(DL,12478,1106.00),(AA,11298,1095.00),(DL,12892,1062.00),(DL,12892,1061.00),(DL,14908,1036.00),(DL,12217,993.00),(DL,14747,977.00),(DL,14771,976.00),(F9,11618,972.00),(F9,13303,968.00),(DL,12889,963.00),(DL,10792,921.00),(F9,13204,920.00),(DL,14689,906.00),(DL,10208,888.00),(AA,12892,874.00),(OO,14696,852.00)]"
2025-04-17 00:00:00,3,11292,87523,11497,11.62809775716097,1899.0,"[(AA,14107,1899.00),(AA,11298,1679.00),(AA,11057,1489.00),(B6,10721,1458.00),(AA,11298,1123.00),(OO,11921,1120.00),(OO,11315,1087.00),(MQ,14107,998.00),(OO,12280,990.00),(OO,14877,986.00),(OO,10713,977.00),(OO,12177,975.00),(AA,13930,961.00),(F9,10397,940.00),(OO,12896,940.00),(OO,14457,931.00),(F9,12889,925.00),(UA,12441,914.00),(AA,11057,910.00),(OO,13158,910.00)]"
2025-04-17 00:00:00,4,13930,79488,11143,13.09736060789048,1986.0,"[(AA,14100,1986.00),(AA,12441,1546.00),(OO,14877,1320.00),(F9,11292,1273.00),(B6,10721,1240.00),(AA,14100,1167.00),(AA,13495,1112.00),(MQ,13459,1052.00),(AA,11278,1051.00),(DL,14869,1025.00),(B6,12478,1018.00),(OO,13282,1014.00),(OO,13184,1012.00),(OO,15370,999.00),(OO,13871,998.00),(NK,10397,977.00),(OO,12559,964.00),(AA,10423,945.00),(OO,10693,933.00),(AA,11278,926.00)]"
2025-04-17 00:00:00,5,11057,58318,7986,12.085308138139258,1279.0,"[(AA,15016,1279.00),(AA,10257,1233.00),(F9,11298,1203.00),(AA,14100,1148.00),(AA,11278,1113.00),(DL,10397,1041.00),(AA,12478,1030.00),(OH,11973,1026.00),(OH,10599,1009.00),(AA,14107,989.00),(DL,13487,986.00),(F9,12953,980.00),(F9,12953,935.00),(AA,10257,934.00),(DL,10397,913.00),(UA,11618,897.00),(OH,14685,865.00),(AA,11292,845.00),(OH,11252,835.00),(MQ,12992,833.00)]"
2025-04-17 00:00:00,6,11278,39487,6963,16.819991389571232,1587.0,"[(AA,13930,1587.00),(AA,11298,1316.00),(OH,10581,1173.00),(AA,14635,1165.00),(DL,10397,1160.00),(UA,12266,1160.00),(OH,10257,1157.00),(OH,11423,1153.00),(AA,11298,1141.00),(AA,15304,1118.00),(OH,10781,1110.00),(UA,13930,1093.00),(DL,11433,1092.00),(OH,10781,1051.00),(DL,10397,1040.00),(DL,12892,1031.00),(DL,10397,995.00),(B6,14027,976.00),(F9,11292,968.00),(DL,11433,954.00)]"
2025-04-17 00:00:00,7,12889,54083,6541,9.677883993121569,2315.0,"[(AA,11298,2315.00),(OO,14893,1266.00),(G4,14457,1194.00),(DL,12478,1094.00),(G4,11193,1042.00),(DL,10397,1030.00),(G4,14314,1030.00),(G4,10408,964.00),(G4,11193,964.00),(G4,13367,952.00),(DL,12478,942.00),(G4,10666,942.00),(F9,13232,896.00),(AA,13930,893.00),(UA,11618,870.00),(AA,14107,868.00),(B6,12478,866.00),(DL,12892,859.00),(AA,11298,853.00),(F9,11292,838.00)]"
2025-04-17 00:00:00,8,14107,60526,6373,8.184300961570216,1859.0,"[(AA,12478,1859.00),(B6,11697,1163.00),(AA,12173,1159.00),(AA,10693,996.00),(OO,10713,972.00),(DL,14869,963.00),(AA,10397,931.00),(AA,10423,891.00),(F9,13930,871.00),(AA,14262,867.00),(AA,11066,861.00),(AA,13487,855.00),(OO,11695,849.00),(AA,12173,829.00),(AA,12889,820.00),(OO,14698,796.00),(OO,10561,793.00),(DL,10397,791.00),(OO,14771,781.00),(OO,13158,768.00)]"
2025-04-17 00:00:00,9,13204,48163,6110,11.616095342898145,1305.0,"[(AA,13930,1305.00),(DL,11433,1196.00),(AA,13930,1186.00),(F9,14100,1171.00),(AA,14100,1156.00),(AA,11057,1151.00),(DL,12478,1073.00),(AA,13303,1019.00),(DL,11193,1014.00),(DL,11433,1000.00),(AA,14107,986.00),(AA,11278,959.00),(UA,12892,950.00),(AA,13930,945.00),(AA,14100,910.00),(UA,13930,904.00),(UA,12266,902.00),(DL,14492,899.00),(DL,12892,896.00),(AA,12892,887.00)]"
2025-04-17 00:00:00,10,13303,35536,5547,15.56677735254399,1478.0,"[(AA,10423,1478.00),(F9,11193,1242.00),(AA,10994,1217.00),(DL,13487,1114.00),(F9,14100,1100.00),(AA,14107,1050.00),(UA,12266,1030.00),(F9,14100,1008.00),(AA,13495,987.00),(B6,10721,977.00),(DL,10721,973.00),(DL,12478,925.00),(YX,12992,925.00),(AA,14107,920.00),(AA,14107,911.00),(DL,12953,907.00),(B6,12478,870.00),(DL,11433,861.00),(AA,12266,860.00),(DL,10397,842.00)]"
2025-04-18 00:00:00,1,11298,87070,13752,14.654645687377997,1766.0,"[(AA,13303,1766.00),(OH,11953,1500.00),(AA,12173,1490.00),(AA,13930,1419.00),(B6,10721,1412.00),(AA,13303,1322.00),(OH,12217,1318.00),(AA,14492,1272.00),(OH,12992,1198.00),(AA,13244,1175.00),(OH,12217,1172.00),(AA,11638,1147.00),(AA,12094,1144.00),(AA,13851,1098.00),(AA,14193,1078.00),(OH,12448,1058.00),(DL,10397,1021.00),(OH,13277,1020.00),(AA,11057,1003.00),(DL,12953,995.00)]"
2025-04-18 00:00:00,2,10397,86160,12398,13.420624419684339,1300.0,"[(AA,13303,1300.00),(B6,10721,1204.00),(DL,14747,1188.00),(DL,12478,1106.00),(AA,11298,1095.00),(DL,12892,1062.00),(DL,12892,1061.00),(DL,14908,1036.00),(DL,12217,993.00),(DL,14747,977.00),(DL,14771,976.00),(F9,11618,972.00),(F9,13303,968.00),(DL,12889,963.00),(DL,10792,921.00),(F9,13204,920.00),(DL,14689,906.00),(DL,10208,888.00),(AA,12892,874.00),(OO,14696,852.00)]"
2025-04-18 00:00:00,3,11292,88329,11856,12.052598806733938,1899.0,"[(AA,14107,1899.00),(AA,11298,1679.00),(AA,11057,1489.00),(B6,10721,1458.00),(AA,11298,1123.00),(OO,11921,1120.00),(OO,11315,1087.00),(MQ,14107,998.00),(OO,12280,990.00),(OO,14877,986.00),(OO,10713,977.00),(OO,12177,975.00),(AA,13930,961.00),(F9,10397,940.00),(OO,12896,940.00),(OO,14457,931.00),(F9,12889,925.00),(UA,12441,914.00),(AA,11057,910.00),(OO,13158,910.00)]"
2025-04-18 00:00:00,4,13930,80396,11235,13.05910741827948,1986.0,"[(AA,14100,1986.00),(AA,11057,1936.00),(AA,12441,1546.00),(OO,14877,1320.00),(F9,11292,1273.00),(B6,10721,1240.00),(AA,14100,1167.00),(AA,13495,1112.00),(MQ,13459,1052.00),(AA,11278,1051.00),(DL,14869,1025.00),(B6,12478,1018.00),(OO,13282,1014.00),(OO,13184,1012.00),(OO,15370,999.00),(OO,13871,998.00),(NK,10397,977.00),(OO,12559,964.00),(AA,10423,945.00),(OO,10693,933.00)]"
2025-04-18 00:00:00,5,11057,58881,8048,12.055620658616625,1279.0,"[(AA,15016,1279.00),(AA,10257,1233.00),(F9,11298,1203.00),(AA,14100,1148.00),(AA,11278,1113.00),(DL,10397,1041.00),(AA,12478,1030.00),(OH,11973,1026.00),(OH,10599,1009.00),(AA,14107,989.00),(DL,13487,986.00),(F9,12953,980.00),(F9,12953,935.00),(AA,10257,934.00),(DL,10397,913.00),(UA,11618,897.00),(OH,14685,865.00),(AA,11292,845.00),(OH,11252,835.00),(MQ,12992,833.00)]"
2025-04-18 00:00:00,6,11278,39887,6989,16.6836563291298,1587.0,"[(AA,13930,1587.00),(AA,11298,1316.00),(OH,10581,1173.00),(AA,14635,1165.00),(DL,10397,1160.00),(UA,12266,1160.00),(OH,10257,1157.00),(OH,11423,1153.00),(AA,11298,1141.00),(AA,15304,1118.00),(OH,10781,1110.00),(UA,13930,1093.00),(DL,11433,1092.00),(OH,10781,1051.00),(DL,10397,1040.00),(DL,12892,1031.00),(DL,10397,995.00),(B6,14027,976.00),(F9,11292,968.00),(DL,11433,954.00)]"
2025-04-18 00:00:00,7,12889,54664,6638,9.716961803014684,2315.0,"[(AA,11298,2315.00),(OO,14893,1266.00),(G4,14457,1194.00),(DL,12478,1094.00),(G4,11193,1042.00),(DL,10397,1030.00),(G4,14314,1030.00),(G4,10408,964.00),(G4,11193,964.00),(G4,13367,952.00),(DL,12478,942.00),(G4,10666,942.00),(F9,13232,896.00),(AA,13930,893.00),(UA,11618,870.00),(AA,14107,868.00),(B6,12478,866.00),(DL,12892,859.00),(AA,11298,853.00),(F9,11292,838.00)]"
2025-04-18 00:00:00,8,14107,61117,6461,8.239704173961412,1859.0,"[(AA,12478,1859.00),(B6,11697,1163.00),(AA,12173,1159.00),(AA,10693,996.00),(OO,10713,972.00),(DL,14869,963.00),(AA,10397,931.00),(AA,10423,891.00),(F9,13930,871.00),(AA,14262,867.00),(AA,11066,861.00),(AA,13487,855.00),(OO,11695,849.00),(AA,12173,829.00),(AA,12889,820.00),(OO,14698,796.00),(OO,10561,793.00),(DL,10397,791.00),(OO,14771,781.00),(OO,13158,768.00)]"
